Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,OwnerUserId,OwnerDisplayName,ClosedDate,IsClosed,Tags
"4","1","7","","2008-07-31 21:42:52","8","","","0","<c#><floating-point><type-conversion><double><decimal>"
"6","1","31","","2008-07-31 22:08:08","9","","","0","<html><css><internet-explorer-7>"
"7","2","","4","2008-07-31 22:17:57","9","","","0",""
"9","1","1404","","2008-07-31 23:40:59","1","","","0","<c#><.net><datetime>"
"11","1","1248","","2008-07-31 23:55:37","1","","","0","<c#><datetime><time><datediff><relative-time-span>"
"12","2","","11","2008-07-31 23:56:41","1","","","0",""
"13","1","","","2008-08-01 00:42:38","9","","","0","<html><browser><timezone><user-agent><timezone-offset>"
"14","1","","","2008-08-01 00:59:11","11","Anonymous User","","0","<.net><math>"
"16","1","12446","","2008-08-01 04:59:33","2","","","0","<c#><linq><web-services><.net-3.5>"
"17","1","26","","2008-08-01 05:09:55","2","","2018-11-29 15:36:04","1","<mysql><database><binary-data><data-storage>"
"18","2","","17","2008-08-01 05:12:44","","phpguy","","0",""
"19","1","531","","2008-08-01 05:21:22","13","","","0","<performance><algorithm><language-agnostic><unix><pi>"
"22","2","","9","2008-08-01 12:07:19","17","","","0",""
"24","1","49","","2008-08-01 12:12:19","22","","","0","<mysql><database><triggers>"
"25","1","1443907","","2008-08-01 12:13:50","23","","","0","<c++><c><sockets><mainframe><zos>"
"26","2","","17","2008-08-01 12:16:22","48","Mat Scales","","0",""
"27","2","","11","2008-08-01 12:17:19","17","","","0",""
"29","2","","13","2008-08-01 12:19:17","19","","","0",""
"30","2","","25","2008-08-01 12:22:40","13","","","0",""
"31","2","","6","2008-08-01 12:22:51","","maclema","","0",""
"33","2","","14","2008-08-01 12:26:39","13","","","0",""
"34","1","","","2008-08-01 12:30:57","","maclema","","0","<arrays><actionscript-3><apache-flex>"
"36","1","352","","2008-08-01 12:35:56","32","","","0","<sql><sql-server><datatable><rdbms>"
"39","1","45","","2008-08-01 12:43:11","33","","","0","<c#><.net><vb.net><timer>"
"42","1","77","","2008-08-01 12:50:18","37","","","0","<php><plugins><architecture><hook>"
"44","2","","39","2008-08-01 12:55:42","35","","","0",""
"45","2","","39","2008-08-01 12:56:37","39","","","0",""
"48","1","31910","","2008-08-01 13:01:17","40","","","0","<html><forms><form-submit><submit-button>"
"49","2","","24","2008-08-01 13:02:51","43","","","0",""
"51","2","","36","2008-08-01 13:07:52","17","","","0",""
"52","2","","34","2008-08-01 13:08:59","23","","","0",""
"53","2","","34","2008-08-01 13:08:59","34","","","0",""
"56","2","","48","2008-08-01 13:10:16","39","","","0",""
"58","2","","48","2008-08-01 13:14:30","37","","","0",""
"59","1","43110","","2008-08-01 13:14:33","45","","","0","<c#><linq><.net-3.5>"
"60","2","","34","2008-08-01 13:14:40","41","","","0",""
"61","1","","","2008-08-01 13:17:20","","maclema","","0","<mime><file-type><office-2007>"
"62","2","","59","2008-08-01 13:18:37","45","","","0",""
"65","2","","61","2008-08-01 13:20:44","35","","","0",""
"66","1","4521","","2008-08-01 13:20:46","17","","","0","<linq><.net-3.5>"
"68","2","","66","2008-08-01 13:22:04","17","","","0",""
"71","2","","19","2008-08-01 13:37:59","49","Leon Bambrick","","0",""
"72","1","","","2008-08-01 13:38:27","25","","2017-04-20 07:24:44","1","<ruby><rdoc>"
"73","2","","25","2008-08-01 13:40:16","13","","","0",""
"76","2","","42","2008-08-01 13:44:35","50","","","0",""
"77","2","","42","2008-08-01 13:46:00","40","","","0",""
"78","2","","4","2008-08-01 13:53:06","55","","","0",""
"79","1","62853","","2008-08-01 13:56:33","58","Christopher McCulloh","","0","<eclipse><svn><aptana><subclipse>"
"80","1","124","","2008-08-01 13:57:07","26","","","0","<apache-flex><actionscript-3><air>"
"81","2","","34","2008-08-01 14:03:22","41","","","0",""
"82","2","","36","2008-08-01 14:06:28","51","","","0",""
"84","2","","16","2008-08-01 14:10:55","60","","","0",""
"85","1","154","","2008-08-01 14:19:52","59","","2015-10-22 13:43:51","1","<php><sql><database><flat-file>"
"86","2","","4","2008-08-01 14:23:28","39","","","0",""
"87","2","","85","2008-08-01 14:26:22","59","","","0",""
"88","1","98","","2008-08-01 14:36:18","61","","","0","<linux><winapi><visual-c++><unix><timer>"
"89","2","","79","2008-08-01 14:41:01","","Ted Dziuba","","0",""
"90","1","1466832","","2008-08-01 14:41:24","58","Christopher McCulloh","2012-12-26 03:45:49","1","<svn><tortoisesvn><branch><branching-and-merging>"
"92","2","","90","2008-08-01 14:45:37","61","","","0",""
"93","2","","88","2008-08-01 14:46:53","25","","","0",""
"98","2","","88","2008-08-01 14:53:47","2089740","","","0",""
"99","2","","88","2008-08-01 14:55:08","25","","","0",""
"103","2","","13","2008-08-01 15:11:59","72","","","0",""
"104","1","112","","2008-08-01 15:12:34","39","","","0","<.net><performance><memory-leaks><com-interop>"
"107","2","","104","2008-08-01 15:19:25","61","","","0",""
"108","1","111","","2008-08-01 15:22:29","72","","2012-08-15 19:45:13","1","<windows><svn><64-bit>"
"109","1","2585","","2008-08-01 15:23:05","71","","","0","<c#><sql><vb.net><ascii><hex>"
"110","2","","104","2008-08-01 15:23:33","36","","","0",""
"111","2","","108","2008-08-01 15:27:23","146270","Diago","","0",""
"112","2","","104","2008-08-01 15:28:12","34","","","0",""
"113","2","","108","2008-08-01 15:32:11","60","","","0",""
